created_at,tweet
Wed Feb 08 23:40:59 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:35:13 +0000 2023,@bellexcosta Para ser sincero ele foi um desculpado na eliminação do Brasil na copa errou o pênalti mostrou que é u… https://t.co/vcvrfkI6yk
Wed Feb 08 23:34:58 +0000 2023,"@_matheusfla @RodrygoGoes Ué, agora flamenguista se importa com seleção!? Passaram a copa toda falando que não esta… https://t.co/jRUicn0mOW"
Wed Feb 08 23:34:36 +0000 2023,@nataliasilvayt Só lembrar de Brasil x Croácia - Quartas de final da Copa do Mundo 2022
Wed Feb 08 23:33:27 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Wed Feb 08 23:33:21 +0000 2023,@pedrohlimadev @_matheusfla @RodrygoGoes Rica Perrone falou que ele foi um dos piores do Brasil na Copa e que só fo… https://t.co/VPGn4mFF5u
Wed Feb 08 23:31:29 +0000 2023,Muita bronca pra quem perdeu pênalti e eliminou o Brasil na copa! https://t.co/TylRg1d63F
Wed Feb 08 23:29:28 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Wed Feb 08 23:25:28 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:25:19 +0000 2023,"RT @Mulambada1895: @goleada_info Rodrygo, o responsável pela eliminação precoce do Brasil na Copa kkk. Esse nasceu pra ser sombra do Vini.…"
Wed Feb 08 23:23:43 +0000 2023,"Zinho,vc foi um jogador exemplar,pq demonstrou dedicação em toda a sua carreira. Agora,o treinador ñ pode expor as… https://t.co/ZQ4N1U0K5q"
Wed Feb 08 23:23:37 +0000 2023,"Elon musk espero que você veja ela com outro, após uma derrota do Brasil na copa para a fraquíssima seleção de cama… https://t.co/6kPgTRjtuH"
Wed Feb 08 23:23:26 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Wed Feb 08 23:22:51 +0000 2023,"e o grande RODRYGO, responsável pela eliminação do brasil na copa, que provavelmente não conhece 3 jogadores do al… https://t.co/GNSB8i0aPT"
Wed Feb 08 23:21:36 +0000 2023,Quando vejo a querida @RegianeAlves em cena parece que eu gritei gol do Brasil na Copa kkkk e a mesma comemoração kk https://t.co/mrfYk1WJ1I
Wed Feb 08 23:21:13 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:20:50 +0000 2023,@scaledfalls tá igual o brasil na copa kkkkkkk
Wed Feb 08 23:19:57 +0000 2023,Tá falando demais pra quem não assume o filho e é o principal responsável pela eliminação do Brasil na copa https://t.co/e48GPQzEsl
Wed Feb 08 23:19:51 +0000 2023,"⚡ Kit Budweiser Copa do Mundo 2 LN 330ml + Copo Mágico Vermelho 650ml

🔥 Por: R$ 19,90 
🛒 Link:… https://t.co/Q1Z4YsFxpT"
Wed Feb 08 23:19:17 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
